team_name,season,player_id,player_position
Boston Celtics,2021-22,s/schrode01,PG
Boston Celtics,2021-22,s/smartma01,PG
Boston Celtics,2021-22,s/stausni01,SG
Boston Celtics,2021-22,t/tatumja01,SF
Boston Celtics,2021-22,t/theisda01,C
Boston Celtics,2021-22,t/thomabr01,SG
Boston Celtics,2021-22,w/whitede01,SG
Boston Celtics,2021-22,w/willigr01,PF
Boston Celtics,2021-22,w/williro04,C
Boston Celtics,2020-21,b/brownja02,SG
Boston Celtics,2020-21,e/edwarca01,SG
Boston Celtics,2020-21,f/fallta01,C
Boston Celtics,2020-21,f/fournev01,SF
Boston Celtics,2020-21,g/greenja02,SF
Boston Celtics,2020-21,k/kornelu01,C
Boston Celtics,2020-21,l/langfro01,SG
Boston Celtics,2020-21,n/nesmiaa01,SF
Boston Celtics,2020-21,o/ojelese01,PF
Boston Celtics,2020-21,p/parkeja01,PF
Boston Celtics,2020-21,p/pritcpa01,SG
Boston Celtics,2020-21,s/smartma01,PG
Boston Celtics,2020-21,t/tatumja01,SF
Boston Celtics,2020-21,t/teaguje01,PG
Boston Celtics,2020-21,t/theisda01,C
Boston Celtics,2020-21,t/thomptr01,C
Boston Celtics,2020-21,w/wagnemo01,C
Boston Celtics,2020-21,w/walkeke02,PG
Boston Celtics,2020-21,w/watertr01,PG
Boston Celtics,2020-21,w/willigr01,PF
Boston Celtics,2020-21,w/williro04,C
Boston Celtics,2019-20,b/brownja02,SG
Boston Celtics,2019-20,e/edwarca01,SG
Boston Celtics,2019-20,f/fallta01,C
Boston Celtics,2019-20,k/kanteen01,C
Boston Celtics,2019-20,g/greenja02,SG
Boston Celtics,2019-20,h/haywago01,SF
Boston Celtics,2019-20,l/langfro01,SG
Boston Celtics,2019-20,o/ojelese01,PF
Boston Celtics,2019-20,p/poirivi01,C
Boston Celtics,2019-20,s/smartma01,SG
Boston Celtics,2019-20,t/tatumja01,PF
Boston Celtics,2019-20,t/theisda01,C
Boston Celtics,2019-20,w/walkeke02,PG
Boston Celtics,2019-20,w/wanambr01,PG
Boston Celtics,2019-20,w/watertr01,PG
Boston Celtics,2019-20,w/willigr01,PF
Boston Celtics,2019-20,w/williro04,C
Boston Celtics,2018-19,b/baynear01,C
Boston Celtics,2018-19,b/brownja02,SG
Boston Celtics,2018-19,d/doziepj01,SG
Boston Celtics,2018-19,h/haywago01,PF
Boston Celtics,2018-19,h/horfoal01,C
Boston Celtics,2018-19,h/hunterj01,SG
Boston Celtics,2018-19,i/irvinky01,PG
Boston Celtics,2018-19,m/monrogr01,C
Boston Celtics,2018-19,m/morrima03,PF
Boston Celtics,2018-19,o/ojelese01,PF
Boston Celtics,2018-19,r/roziete01,PG
Boston Celtics,2018-19,s/smartma01,SG
Boston Celtics,2018-19,t/tatumja01,SF
Boston Celtics,2018-19,t/theisda01,C
Boston Celtics,2018-19,w/wanambr01,PG
Boston Celtics,2018-19,w/williro04,C
Boston Celtics,2018-19,y/yabusgu01,PF
Boston Celtics,2017-18,a/allenka01,PG
Boston Celtics,2017-18,b/baynear01,C
Boston Celtics,2017-18,b/birdja01,SG
Boston Celtics,2017-18,b/brownja02,SG
Boston Celtics,2017-18,e/eddieja01,SF
Boston Celtics,2017-18,g/gibsojo01,PG
Boston Celtics,2017-18,h/haywago01,SF
Boston Celtics,2017-18,h/horfoal01,C
Boston Celtics,2017-18,i/irvinky01,PG
Boston Celtics,2017-18,l/larkish01,PG
Boston Celtics,2017-18,m/monrogr01,C
Boston Celtics,2017-18,m/morrima03,PF
Boston Celtics,2017-18,n/naderab01,SF
Boston Celtics,2017-18,o/ojelese01,PF
Boston Celtics,2017-18,r/roziete01,PG
Boston Celtics,2017-18,s/silasxa01,SG
Boston Celtics,2017-18,s/smartma01,SG
Boston Celtics,2017-18,t/tatumja01,SF
Boston Celtics,2017-18,t/theisda01,C
Boston Celtics,2017-18,y/yabusgu01,PF
Boston Celtics,2016-17,b/bradlav01,SG
Boston Celtics,2016-17,b/brownja02,SF
Boston Celtics,2016-17,c/crowdja01,SF
Boston Celtics,2016-17,g/greenge01,SF
Boston Celtics,2016-17,h/horfoal01,C
Boston Celtics,2016-17,j/jacksde01,PG
Boston Celtics,2016-17,j/jerebjo01,PF
Boston Celtics,2016-17,j/johnsam01,PF
Boston Celtics,2016-17,m/mickejo01,PF
Boston Celtics,2016-17,o/olynyke01,C
Boston Celtics,2016-17,r/roziete01,PG
Boston Celtics,2016-17,s/smartma01,SG
Boston Celtics,2016-17,t/thomais02,PG
Boston Celtics,2016-17,y/youngja01,SG
Boston Celtics,2016-17,z/zellety01,C
Boston Celtics,2015-16,b/bradlav01,SG
Boston Celtics,2015-16,c/clarkco01,SF
Boston Celtics,2015-16,c/crowdja01,SF
