team_name,season,player_name,player_id,player_position
Boston Celtics,2018-19,Al Horford,h/horfoal01,C
Boston Celtics,2018-19,R.J. Hunter,h/hunterj01,SG
Boston Celtics,2018-19,Kyrie Irving,i/irvinky01,PG
Boston Celtics,2018-19,Greg Monroe,m/monrogr01,C
Boston Celtics,2018-19,Marcus Morris,m/morrima03,PF
Boston Celtics,2018-19,Semi Ojeleye,o/ojelese01,PF
Boston Celtics,2018-19,Terry Rozier,r/roziete01,PG
Boston Celtics,2018-19,Marcus Smart,s/smartma01,SG
Boston Celtics,2018-19,Jayson Tatum,t/tatumja01,SF
Boston Celtics,2018-19,Daniel Theis,t/theisda01,C
Boston Celtics,2018-19,Brad Wanamaker,w/wanambr01,PG
Boston Celtics,2018-19,Robert Williams,w/williro04,C
Boston Celtics,2018-19,Guerschon Yabusele,y/yabusgu01,PF
Boston Celtics,2017-18,Kadeem Allen,a/allenka01,PG
Boston Celtics,2017-18,Aron Baynes,b/baynear01,C
Boston Celtics,2017-18,Jabari Bird,b/birdja01,SG
Boston Celtics,2017-18,Jaylen Brown,b/brownja02,SG
Boston Celtics,2017-18,Jarell Eddie,e/eddieja01,SF
Boston Celtics,2017-18,Jonathan Gibson,g/gibsojo01,PG
Boston Celtics,2017-18,Gordon Hayward,h/haywago01,SF
Boston Celtics,2017-18,Al Horford,h/horfoal01,C
Boston Celtics,2017-18,Kyrie Irving,i/irvinky01,PG
Boston Celtics,2017-18,Shane Larkin,l/larkish01,PG
Boston Celtics,2017-18,Greg Monroe,m/monrogr01,C
Boston Celtics,2017-18,Marcus Morris,m/morrima03,PF
Boston Celtics,2017-18,Abdel Nader,n/naderab01,SF
Boston Celtics,2017-18,Semi Ojeleye,o/ojelese01,PF
Boston Celtics,2017-18,Terry Rozier,r/roziete01,PG
Boston Celtics,2017-18,Xavier Silas,s/silasxa01,SG
Boston Celtics,2017-18,Marcus Smart,s/smartma01,SG
Boston Celtics,2017-18,Jayson Tatum,t/tatumja01,SF
Boston Celtics,2017-18,Daniel Theis,t/theisda01,C
Boston Celtics,2017-18,Guerschon Yabusele,y/yabusgu01,PF
Boston Celtics,2016-17,Avery Bradley,b/bradlav01,SG
Boston Celtics,2016-17,Jaylen Brown,b/brownja02,SF
Boston Celtics,2016-17,Jae Crowder,c/crowdja01,SF
Boston Celtics,2016-17,Gerald Green,g/greenge01,SF
Boston Celtics,2016-17,Al Horford,h/horfoal01,C
Boston Celtics,2016-17,Demetrius Jackson,j/jacksde01,PG
Boston Celtics,2016-17,Jonas Jerebko,j/jerebjo01,PF
Boston Celtics,2016-17,Amir Johnson,j/johnsam01,PF
Boston Celtics,2016-17,Jordan Mickey,m/mickejo01,PF
